task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
254	e3/48f38e	40000	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (D2453159_S01_L001)	COMPLETED	0	2025-04-17 17:03:57.985	4.5s	2s	95.7%	157.9 MB	942.8 MB	42.4 MB	26.9 MB
255	33/a45330	40074	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (D1816817_S01_L001)	COMPLETED	0	2025-04-17 17:03:58.942	3.9s	2s	97.8%	7.1 MB	28.1 MB	35.2 MB	138.1 KB
256	fa/a3d6e3	40155	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (D1816817_S01_L001)	COMPLETED	0	2025-04-17 17:04:00.992	2.1s	0ms	100.0%	2.7 MB	11 MB	64 KB	1.2 KB
138	bb/e5b0ff	39667	NFCORE_BACTMAP:BACTMAP:BWA_MEM (D2306204_S01_L001)	COMPLETED	0	2025-04-17 17:03:49.156	15.4s	14s	227.4%	210.4 MB	747.2 MB	282.4 MB	286.4 MB
260	e4/671140	40228	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (D0599005_S01_L001)	COMPLETED	0	2025-04-17 17:04:02.890	2.6s	0ms	99.2%	4.2 MB	26.6 MB	49.5 MB	6.9 KB
263	c6/63e2b1	40264	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (D0372208_S01_L001)	COMPLETED	0	2025-04-17 17:04:03.102	2.8s	0ms	101.0%	4.3 MB	26.6 MB	52.9 MB	767 B
258	e2/add2bb	40193	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (D1088210_S01_L001)	COMPLETED	0	2025-04-17 17:04:02.481	5s	2s	98.6%	163.6 MB	942.8 MB	43.2 MB	28.6 MB
262	84/e2cd30	40379	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (D0372208_S01_L001)	COMPLETED	0	2025-04-17 17:04:05.899	1.9s	0ms	200.0%	2.7 MB	11 MB	63.9 KB	1.2 KB
136	ac/1f84a0	39627	NFCORE_BACTMAP:BACTMAP:BWA_MEM (D1490961_S01_L001)	COMPLETED	0	2025-04-17 17:03:48.948	19.6s	18s	239.6%	201.2 MB	747.2 MB	406.1 MB	414.6 MB
261	7e/201776	40341	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (D0372208_S01_L001)	COMPLETED	0	2025-04-17 17:04:05.543	3.9s	1s	100.9%	6.8 MB	28.1 MB	52.9 MB	105.7 KB
126	71/63e48f	38293	NFCORE_BACTMAP:BACTMAP:VARIANTS_BCFTOOLS:BCFTOOLS_MPILEUP (D0287766_S01_L001)	COMPLETED	0	2025-04-17 17:03:25.839	43.9s	41s	142.9%	78.3 MB	8.2 GB	819 MB	767.6 MB
266	1f/22907b	40453	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (D2453159_S01_L001)	COMPLETED	0	2025-04-17 17:04:07.777	2.2s	0ms	100.0%	4.2 MB	26.6 MB	26.9 MB	6.8 KB
269	85/50cbcd	40608	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (D0599005_S01_L001)	COMPLETED	0	2025-04-17 17:04:10.020	1.9s	0ms	66.7%	0	0	63.8 KB	1.2 KB
267	c8/40c8af	40532	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (D2306204_S01_L001)	COMPLETED	0	2025-04-17 17:04:09.439	5.7s	3s	94.5%	241.3 MB	954.8 MB	49.6 MB	24.7 MB
268	e6/6a12e0	40645	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (D0599005_S01_L001)	COMPLETED	0	2025-04-17 17:04:11.896	4.5s	2s	73.9%	6.6 MB	28.1 MB	49.5 MB	106.8 KB
264	b5/e33b82	40417	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (D0595886_S01_L001)	COMPLETED	0	2025-04-17 17:04:07.525	9.1s	7s	97.4%	424.2 MB	978.8 MB	114.2 MB	66.7 MB
270	11/4343f2	40683	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (D0599005_S01_L001)	COMPLETED	0	2025-04-17 17:04:15.104	2.5s	0ms	100.3%	4.2 MB	26.6 MB	49.5 MB	768 B
272	a9/0978ef	40721	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (D1088210_S01_L001)	COMPLETED	0	2025-04-17 17:04:16.427	2.3s	1s	93.5%	4.4 MB	26.6 MB	28.6 MB	6.6 KB
277	50/39d1b5	40792	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (D2453159_S01_L001)	COMPLETED	0	2025-04-17 17:04:17.609	2s	0ms	103.2%	2.7 MB	11 MB	63.8 KB	1.2 KB
141	fd/e28428	39888	NFCORE_BACTMAP:BACTMAP:VARIANTS_BCFTOOLS:BCFTOOLS_MPILEUP (D0340971_S01_L001)	COMPLETED	0	2025-04-17 17:03:55.639	25.5s	24s	168.2%	70.8 MB	8.2 GB	709.5 MB	685.9 MB
276	7e/cb9ca6	40869	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (D2453159_S01_L001)	COMPLETED	0	2025-04-17 17:04:19.647	2.5s	0ms	93.0%	4.3 MB	26.6 MB	26.9 MB	766 B
